PIcoverRate,PIcoverRateBoot,MAPE,RMSE,PIWidth,PIWidthBoot,date
59.375,65.625,57.2099810190389,13.1779871247655,19.0496621533674,19.7891530438603,2018/08/02
46.875,47.9166666666667,58.8717221724758,16.3216304061255,19.0847738126714,19.8104909323673,2018/08/03
43.75,47.9166666666667,53.8673823032112,16.4514073658607,19.0928063424614,19.8162030194523,2018/08/04
45.8333333333333,50,56.6151738552117,16.7717956880206,19.0855714231884,19.8136947201719,2018/08/05
57.2916666666667,59.375,81.5299843150391,12.1723506850492,19.0738534640857,19.8025760298767,2018/08/06
67.7083333333333,70.8333333333333,67.331843739125,11.3870710307268,19.0619780729935,19.7906054098638,2018/08/07
57.2916666666667,61.4583333333333,47.1281018289924,13.9829945464939,19.0319418167253,19.7712623360135,2018/08/08
56.25,60.4166666666667,78.7614985930007,14.0075109534046,18.9829595651252,19.7360323293421,2018/08/09
48.9583333333333,52.0833333333333,46.7825010484275,17.4579346076205,19.0266191291151,19.7675603515338,2018/08/10
38.5416666666667,41.6666666666667,49.8091488576419,19.838478911776,19.4238671651851,20.0431698712258,2018/08/11
35.4166666666667,39.5833333333333,62.5136945476526,21.4922761220325,19.4132053742906,20.0322995658176,2018/08/12
46.875,50,60.089335116976,16.3505524976733,19.0233927891457,19.7630978134908,2018/08/13
37.5,42.7083333333333,58.403256905822,22.8160908556831,19.098523764893,19.8242512809066,2018/08/14
29.1666666666667,30.2083333333333,65.4812675100564,21.6418683196024,19.0875201654247,19.8187810641974,2018/08/15
66.6666666666667,66.6666666666667,52.3089177028143,12.9036470794291,19.0601936920935,19.801980093963,2018/08/16
34.375,38.5416666666667,58.115926537733,20.7637483338058,18.902349587337,19.6943912480511,2018/08/17
45.8333333333333,47.9166666666667,48.4381092830452,20.4303908582906,18.8804030374507,19.6783437060515,2018/08/18
34.375,39.5833333333333,54.9698865663707,22.9244820410458,18.8684245004234,19.6677692311059,2018/08/19
44.7916666666667,45.8333333333333,49.542282299658,16.4151206340772,18.9544479110983,19.7356276382169,2018/08/20
53.125,55.2083333333333,62.0293848715575,13.7716767214493,19.0736327185495,19.815443996906,2018/08/21
39.5833333333333,46.875,48.4740478180407,16.1890694622374,19.1581304350169,19.8758831610745,2018/08/22
51.0416666666667,54.1666666666667,60.3192876327779,15.0381822971332,19.1620006275386,19.8709408803559,2018/08/23
34.375,37.5,60.2283058150689,21.4316856985561,19.1768044781747,19.8884708150404,2018/08/24
40.625,46.875,56.0952771451033,21.3422693882054,19.1658344156802,19.8791499702563,2018/08/25
44.7916666666667,45.8333333333333,49.3158631722791,19.2668556213831,19.2296940197239,19.9316527056792,2018/08/26
51.0416666666667,54.1666666666667,50.3151484915175,14.7432873224659,19.3387782852487,20.002504621132,2018/08/27
48.9583333333333,54.1666666666667,46.6687840175519,14.5647994693536,19.304102331548,19.9839286341555,2018/08/28
50,56.25,55.0052752110972,16.0443070187007,19.2680928173286,19.9586392795678,2018/08/29
60.4166666666667,61.4583333333333,43.255413111092,15.1246095566115,19.224279914262,19.9329294832991,2018/08/30
41.6666666666667,44.7916666666667,48.4704109551684,19.3345290232461,19.2322939297642,19.9386547118936,2018/08/31
