BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,IndEnergy_1,IndEnergy_2,IndEnergy_3,IndSOC_1,IndSOC_2,IndSOC_3,EnsembleEnergy,EnsembleSOC,EnergyPImean,EnergyPImin,EnergyPImax,EnergyPIBootmin,EnergyPIBootmax,SOCPImean,SOCPImin,SOCPImax,EnergyDemand,SOC
1,2018,8,2,0,0,0,0,2.44112495589744,12.3215599060059,11.0490719789987,0,-0.0683676302433014,0,7.01085597083503,-0.0205698453051617,4.47594821539702,0,13.0713471085378,0,17.0371934211904,0,0,0,5.3257,0
1,2018,8,2,0,1,0,0,2.44112495589744,12.3110799789429,11.2778298385742,0,-0.0683676302433014,0,7.15600738343589,-0.0205698453051617,4.91671708281387,0,13.6462024904042,0,17.2101408178322,0,0,0,6.9737,0
1,2018,8,2,0,2,0,0,2.44112495589744,12.3180828094482,12.7270533738338,0,-0.0683676302433014,0,8.07556854608929,-0.0205698453051617,6.10090844064321,0,15.1842756650921,0,18.6375284966983,0,0,0,11.41425,0
1,2018,8,2,0,3,0,0,2.44112495589744,12.3252248764038,13.7648893382201,0,-0.0683676302433014,0,8.73409611125451,-0.0205698453051617,6.37896387589744,0,16.1884133185632,0,19.4995999483697,0,0,0,8.749674,0
1,2018,8,2,1,0,0,0,2.44112495589744,12.610577583313,11.1869196999884,0,-0.0683676302433014,0,14.8350291106926,-0.0205698453051617,15.8317657312904,1.67767698374326,29.9858544788376,0.144011604896046,32.3119316058031,0,0,0,11.881141,0
1,2018,8,2,1,1,0,0,2.44112495589744,12.6221008300781,11.0437609222401,0,-0.0683676302433014,0,14.8180860977222,-0.0205698453051617,15.6218457780265,0.254951966978336,30.9887395890747,0.00496650388426924,33.3745591927859,0,0,0,7.160582,0
1,2018,8,2,1,2,0,0,3.30947871045328,12.6322774887085,12.392573466067,0,-0.0683676302433014,0,15.0964659976137,-0.0205698453051617,15.5441254990526,0,31.6600581668811,0.000389323563090346,34.1911430770225,0,0,0,2.96013,0
1,2018,8,2,1,3,0,0,3.30947871045328,12.6425371170044,13.50580163913,0,-0.0683676302433014,0,15.3280843355725,-0.0205698453051617,15.36154878157,0,31.6632424267004,0,34.3982586262853,0,0,0,4.636155,0
1,2018,8,2,2,0,0,0,2.44112495589744,13.0385875701904,11.512330219096,0,-0.0683676302433014,0,5.468485113656,-0.0205698453051617,0.770126836611279,0,3.60676426260511,0,16.3311685571027,0,0,0,9.411555,0
1,2018,8,2,2,1,0,0,2.44112495589744,13.0548458099365,10.8804977698012,0,-0.0683676302433014,0,5.90021409524988,-0.0205698453051617,1.28821331690892,0,5.19103545890493,0,16.6271477363624,0,0,0,9.449022,0
1,2018,8,2,2,2,0,0,3.30947871045328,13.0685119628906,11.9173954621122,0,-0.0683676302433014,0,5.23205288412107,-0.0205698453051617,1.17173482426949,0,4.59357702654288,0,15.243970854674,0,0,0,5.507688,0
1,2018,8,2,2,3,0,0,4.10988952044293,13.0822525024414,12.9784711541883,0,-0.0683676302433014,0,4.54806745939827,-0.0205698453051617,0.875770236527532,0,3.77092588906814,0,12.0319492219474,0,0,0,3.155349,0
1,2018,8,2,3,0,0,0,2.44112495589744,13.5889749526978,12.0632138017183,0,-0.0683676302433014,0,4.91978461274117,-0.0205698453051617,4.50989871874928,0,11.1874103585597,0,16.6707782197428,0,0,0,3.599324,0
1,2018,8,2,3,1,0,0,2.44112495589744,13.6098337173462,10.8475181340856,0,-0.0683676302433014,0,4.66999248803127,-0.0205698453051617,4.4359790146203,0,10.8267721658439,0,15.2698243714718,0,0,0,3.599324,0
1,2018,8,2,3,2,0,0,2.44112495589744,13.6265497207642,11.4229409956481,0,-0.0683676302433014,0,4.78822610769715,-0.0205698453051617,4.5874412652661,0,11.1633482330215,0,14.8629293825506,0,0,0,3.599324,0
1,2018,8,2,3,3,0,0,4.10988952044293,13.6432943344116,12.6108493275444,0,-0.0683676302433014,0,6.70107326140148,-0.0205698453051617,5.72280979994598,0,13.6487005905403,0,17.228052398259,0,0,0,3.599324,0
1,2018,8,2,4,0,0,0,2.44112495589744,14.2277250289917,12.8640267956831,0,-0.0683676302433014,0,10.6219769644589,-0.0205698453051617,13.3768445957012,1.59787986154454,25.1558093298579,0.230274685783896,26.7826916325638,0,0,0,3.599324,0
1,2018,8,2,4,1,0,0,2.44112495589744,14.2512512207031,11.0032349603839,0,-0.0683676302433014,0,9.1774108468793,-0.0205698453051617,12.1968865806632,1.44676315779788,22.9470100035286,0.118391992893936,24.6123178230527,0,0,0,3.599324,0
1,2018,8,2,4,2,0,0,2.44112495589744,14.2694721221924,11.0629003859919,0,-0.0683676302433014,0,9.22456803459442,-0.0205698453051617,12.1710832414012,1.58407779625026,22.758088686552,0.233796658799142,24.1829345385619,0,0,0,3.599324,0
1,2018,8,2,4,3,0,0,4.10988952044293,14.287652015686,12.7423308627487,0,-0.0683676302433014,0,10.5300803459297,-0.0205698453051617,13.4413734707972,2.41541538984163,24.4673315517527,0.548566259791114,26.0194436100173,0,0,0,9.218324,0
