BuildingIndex,Year,Month,Day,Hour,Quarter,DayInWeek,HolidayOrNot,ChargeDischargeKwh,SOCPercent
1,2017,9,2,2,3,0,0,8.560123,0
1,2017,9,2,3,0,0,0,12.466523,0
1,2017,9,2,3,1,0,0,9.494301,0
1,2017,9,2,3,2,0,0,7.964459,0
1,2017,9,2,3,3,0,0,8.545094,0
1,2017,9,2,4,0,0,0,15.232237,0
1,2017,9,2,4,1,0,0,9.096523,0
1,2017,9,2,4,2,0,0,10.11919,0
1,2017,9,2,4,3,0,0,11.696523,0
1,2017,9,2,5,0,0,0,7.373856,0
1,2017,9,2,5,1,0,0,5.85819,0
1,2017,9,2,5,2,0,0,9.170841,0
1,2017,9,2,5,3,0,0,9.13441,0
1,2017,9,2,6,0,0,0,9.877743,0
1,2017,9,2,6,1,0,0,6.867743,0
1,2017,9,2,6,2,0,0,3.427743,0
1,2017,9,2,6,3,0,0,10.959994,0
1,2017,9,2,7,0,0,0,10.651153,0
1,2017,9,2,7,1,0,0,2.068397,0
1,2017,9,2,7,2,0,0,1.989671,0
1,2017,9,2,7,3,0,0,3.381405,0
1,2017,9,2,8,0,0,0,4.068707,0
1,2017,9,2,8,1,0,0,7.111565,0
1,2017,9,2,8,2,0,0,5.171045,0
1,2017,9,2,8,3,0,0,8.592863,0
1,2017,9,2,9,0,0,0,9.830078,0
1,2017,9,2,9,1,0,0,23.117784,0
1,2017,9,2,9,2,0,0,9.234798,0
1,2017,9,2,9,3,0,0,5.116495,0
1,2017,9,2,10,0,0,0,5.638071,0
1,2017,9,2,10,1,0,0,12.358899,0
1,2017,9,2,10,2,0,0,17.459157,0
1,2017,9,2,10,3,0,0,18.799746,0
1,2017,9,2,11,0,0,0,11.7362,0
1,2017,9,2,11,1,0,0,9.158269,0
1,2017,9,2,11,2,0,0,22.987503,0
1,2017,9,2,11,3,0,0,12.392586,0
1,2017,9,2,12,0,0,0,7.935016,0
1,2017,9,2,12,1,0,0,10.035311,0
1,2017,9,2,12,2,0,0,12.980873,0
1,2017,9,2,12,3,0,0,10.434903,0
1,2017,9,2,13,0,0,0,19.027158,0
1,2017,9,2,13,1,0,0,20.140862,0
1,2017,9,2,13,2,0,0,18.988067,0
1,2017,9,2,13,3,0,0,18.181066,0
1,2017,9,2,14,0,0,0,13.951108,0
