PIcoverRate,PIcoverRateBoot,MAPE,RMSE,PIWidth,PIWidthBoot,date
62.5,61.4583333333333,67.3911660194059,13.9987753442188,17.8526738839703,18.6631462576365,2018/08/02
54.1666666666667,58.3333333333333,59.018323312528,15.8759759644037,18.1079867096764,18.8932779563375,2018/08/03
35.4166666666667,40.625,65.7291067177913,16.8949469552656,18.1372850116258,18.9103836404912,2018/08/04
37.5,39.5833333333333,74.4724428335397,18.410833021238,18.5196306831906,19.2261300948339,2018/08/05
67.7083333333333,66.6666666666667,74.0531016892596,12.1349616538722,18.8052997815308,19.4916512919966,2018/08/06
69.7916666666667,73.9583333333333,80.4054177131267,11.2059748337492,18.7929069225714,19.528690122937,2018/08/07
64.5833333333333,71.875,50.9762426660511,13.2917322824817,18.9088196394366,19.6302482475941,2018/08/08
63.5416666666667,64.5833333333333,64.4511298846163,13.1206426988515,18.8184336685138,19.5112879324612,2018/08/09
42.7083333333333,43.75,50.3272077463993,17.7969125600184,18.6351655037634,19.3297879250105,2018/08/10
33.3333333333333,34.375,54.3077120147315,20.2632591914384,18.6533273862128,19.3219989670951,2018/08/11
44.7916666666667,44.7916666666667,64.3949073099048,20.378046789771,18.6712131781692,19.3436622320284,2018/08/12
53.125,56.25,48.8249680832234,14.0717751066486,18.6783184618252,19.3449921192541,2018/08/13
47.9166666666667,46.875,53.5250989796055,21.6558987365965,19.0639450758083,19.6407888192348,2018/08/14
36.4583333333333,35.4166666666667,74.5433333348847,20.4709363304175,19.9506199518419,20.3081100040854,2018/08/15
61.4583333333333,59.375,69.7565424407707,13.6568623315051,20.0276785471413,20.3648237761932,2018/08/16
47.9166666666667,47.9166666666667,55.3935187963805,18.2279519990872,19.0972365928039,19.7782573071831,2018/08/17
43.75,50,45.7360328721593,18.082470044422,19.2218883923658,19.9426424524595,2018/08/18
36.4583333333333,41.6666666666667,58.6675384290069,20.3984390763558,19.3620563878039,20.0527994502496,2018/08/19
57.2916666666667,60.4166666666667,45.2316218901191,13.1248935143863,19.4803916310471,20.1364441224653,2018/08/20
58.3333333333333,60.4166666666667,59.2162620378132,12.6336280276031,19.4450226707837,20.1095298570813,2018/08/21
55.2083333333333,57.2916666666667,49.1005301249997,13.7316498894039,19.5650554410789,20.2256319663045,2018/08/22
63.5416666666667,69.7916666666667,51.7370398476124,13.23544602994,19.6019547435155,20.2589856727058,2018/08/23
46.875,53.125,52.9333214680534,18.0556471793263,19.6121787062269,20.2676889568774,2018/08/24
42.7083333333333,50,52.1758458050792,17.7461235031029,19.5848293121826,20.2476519792422,2018/08/25
44.7916666666667,50,54.9427215542177,17.4188705940347,19.5572620769561,20.226152701603,2018/08/26
61.4583333333333,68.75,55.1829371316874,12.2915796278929,19.5757334575549,20.233851892971,2018/08/27
54.1666666666667,59.375,55.9546785587586,12.6048507736467,19.5833474088381,20.2371428872331,2018/08/28
57.2916666666667,55.2083333333333,56.1754218882164,13.7141301056161,19.6041189724706,20.2537313623749,2018/08/29
55.2083333333333,58.3333333333333,53.0217403518437,13.3186762045235,19.7437376596721,20.3673157646704,2018/08/30
51.0416666666667,56.25,43.976705249715,16.5243316525397,19.832342906841,20.4302714818179,2018/08/31
