BuildingIndex,Year,Month,Day,Hour,Quarter,IndEnergy_1,IndEnergy_2,IndEnergy_3,IndSOC_1,IndSOC_2,IndSOC_3,EnsembleEnergy,EnsembleSOC,EnergyPImean,EnergyPImin,EnergyPImax,EnergyPIBootmin,EnergyPIBootmax,SOCPImean,SOCPImin,SOCPImax,EnergyDemand,SOCPercent
1,2018,8,8,18,2,30.0667488141763,16.0593585968018,28.6960804867962,0,-0.782121181488037,0,36.878442001835,-0.130851301064008,45.0854967698471,27.8316423150648,62.3393512246295,27.9259578956845,62.2559654325722,0,0,0,17.983053,0
1,2018,8,8,18,3,30.0667488141763,16.0602054595947,26.1404718801209,0,-0.782444477081299,0,34.3232648779916,-0.130905389420145,42.4568777557691,26.2894282761118,58.6243272354263,26.3463015711233,58.5793523314841,0,0,0,17.472487,0
1,2018,8,8,19,0,12.9112408391089,16.0597343444824,24.66559370129,0,-0.781676292419434,0,35.5111961613881,-0.130776869742067,49.6281739929686,30.3053167858135,68.9510312001237,30.3524390576202,68.9055679659886,0,0,0,14.71789,0
1,2018,8,8,19,1,12.9112408391089,16.0600414276123,25.213080214199,0,-0.781967282295227,0,36.0586826742971,-0.130825553251408,49.7421685469159,30.7775694055139,68.7067676883179,30.8115214314157,68.655277454966,0,0,0,22.763646,0
1,2018,8,8,19,2,43.8057157676768,16.0607109069824,26.6087456551593,0,-0.78227972984314,0,63.4060902804078,-0.130877826695889,76.6740120406224,55.94521189314,97.4028121881048,55.9971482054079,97.3291912941161,0,0,0,27.895561,0
1,2018,8,8,19,3,43.8057157676768,16.0615386962891,23.9954371415071,0,-0.78261411190033,0,60.7927817667556,-0.13093376985185,74.9326162565178,55.479159563875,94.3860729491606,55.5111210309152,94.3357807482892,0,0,0,32.716644,0
1,2018,8,8,20,0,12.9112408391089,16.0610866546631,22.8608354005639,0,-0.781819462776184,0,14.5627226559977,-0.130800822587097,13.3976827482284,0,27.1268019103817,0.00527926007776553,28.0000597210697,0,0,0,24.164423,0
1,2018,8,8,20,1,12.9112408391089,16.0613861083984,23.161829995608,0,-0.7821204662323,0,14.5629941732238,-0.130851181399503,13.4146450791544,0,27.3591753787157,0.000936185660226377,28.6287162762113,0,0,0,10.542402,0
1,2018,8,8,20,2,12.9112408391089,16.0620384216309,24.596759096797,0,-0.782443642616272,0,14.5635856311303,-0.130905249811556,12.9702097017449,0,26.9385221867501,0.000148905922884197,28.0890274812522,0,0,0,16.1736,0
1,2018,8,8,20,3,43.8057157676768,16.0628490447998,22.1628548176992,0,-0.782789707183838,0,14.5643206299907,-0.13096314748776,11.7440466164458,0,25.9593239465881,0,27.3226166117111,0,0,0,25.983825,0
1,2018,8,8,21,0,12.9112408391089,16.0624160766602,21.3422323303666,0,-0.781967520713806,0,19.9366753348888,-0.130825593139576,21.4913483203843,2.69273978494866,40.28995685582,1.87238860707799,40.8741339102016,0,0,0,26.343694,0
