PIcoverRate,MAPE,RMSE,PIWidth,date
64.5833333333333,66.3006078327076,14.0896277404225,27.2316548790321,2018/08/08
58.3333333333333,104.124016644261,13.3342071556873,27.2368358365495,2018/08/09
60.4166666666667,49.8639850973253,14.977812817272,27.362248816187,2018/08/10
53.125,56.1763841424921,17.4654303773805,27.5987997981543,2018/08/11
56.25,71.8881650129581,21.104356772051,27.6030979504844,2018/08/12
61.4583333333333,71.338729196151,14.7085184282049,27.6065517415321,2018/08/13
59.375,48.1870622803608,17.7999315179944,27.746832674486,2018/08/14
34.375,96.5530132262322,21.8018595217894,27.7482556687151,2018/08/15
60.4166666666667,85.6489421701476,16.4732532277705,27.748679098847,2018/08/16
54.1666666666667,57.2282943873374,19.0172937669046,27.6273398574379,2018/08/17
60.4166666666667,48.1316100740643,17.9166156392854,27.7302046804225,2018/08/18
61.4583333333333,56.0576357369649,21.0877913629953,27.7282273438145,2018/08/19
60.4166666666667,61.4309996376515,18.3618980939134,27.7256615676627,2018/08/20
61.4583333333333,73.0172746576995,15.840411229453,27.7226470936452,2018/08/21
58.3333333333333,54.8977203565692,16.4981509677928,27.725875686928,2018/08/22
64.5833333333333,73.3172666329258,15.8610556573244,27.7232114607333,2018/08/23
65.625,57.8413016111504,16.5703140629131,27.7664111539498,2018/08/24
59.375,70.1071489343906,18.1967855631702,27.7661680311043,2018/08/25
53.125,73.2595712295172,20.6958939725557,27.8073444411127,2018/08/26
63.5416666666667,87.271682241771,15.9024724354773,27.8561653467092,2018/08/27
61.4583333333333,79.9616098416054,17.6966850898955,27.7880228939471,2018/08/28
63.5416666666667,76.295366871602,15.0392943890555,27.8065431606912,2018/08/29
55.2083333333333,77.8014669450576,18.7065529804794,27.6673936491519,2018/08/30
62.5,55.8446029760827,16.54863445734,27.527155591017,2018/08/31
48.9583333333333,83.9156639579743,20.6544321988058,27.8465462196311,2018/09/01
52.0833333333333,77.2943070826644,19.0597184448948,27.9349310242431,2018/09/02
70.8333333333333,59.0731131432798,11.8229851374026,27.9330048193707,2018/09/03
66.6666666666667,63.0306671228838,12.1028969299174,27.8327556796539,2018/09/04
78.125,41.3182035311682,11.4856604032087,27.9292958471002,2018/09/05
72.9166666666667,49.0699414637444,11.9346542461801,27.8670147441936,2018/09/06
