BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayInWeek),P2(HolidayOrNot)
1,2018,9,1,0,0,0,0
1,2018,9,1,0,1,0,0
1,2018,9,1,0,2,0,0
1,2018,9,1,0,3,0,0
1,2018,9,1,1,0,0,0
1,2018,9,1,1,1,0,0
1,2018,9,1,1,2,0,0
1,2018,9,1,1,3,0,0
1,2018,9,1,2,0,0,0
1,2018,9,1,2,1,0,0
1,2018,9,1,2,2,0,0
1,2018,9,1,2,3,0,0
1,2018,9,1,3,0,0,0
1,2018,9,1,3,1,0,0
1,2018,9,1,3,2,0,0
1,2018,9,1,3,3,0,0
1,2018,9,1,4,0,0,0
1,2018,9,1,4,1,0,0
1,2018,9,1,4,2,0,0
1,2018,9,1,4,3,0,0
1,2018,9,1,5,0,0,0
1,2018,9,1,5,1,0,0
1,2018,9,1,5,2,0,0
1,2018,9,1,5,3,0,0
1,2018,9,1,6,0,0,0
1,2018,9,1,6,1,0,0
1,2018,9,1,6,2,0,0
1,2018,9,1,6,3,0,0
1,2018,9,1,7,0,0,0
1,2018,9,1,7,1,0,0
1,2018,9,1,7,2,0,0
1,2018,9,1,7,3,0,0
1,2018,9,1,8,0,0,0
1,2018,9,1,8,1,0,0
1,2018,9,1,8,2,0,0
1,2018,9,1,8,3,0,0
1,2018,9,1,9,0,0,0
1,2018,9,1,9,1,0,0
1,2018,9,1,9,2,0,0
1,2018,9,1,9,3,0,0
1,2018,9,1,10,0,0,0
1,2018,9,1,10,1,0,0
1,2018,9,1,10,2,0,0
1,2018,9,1,10,3,0,0
1,2018,9,1,11,0,0,0
1,2018,9,1,11,1,0,0
1,2018,9,1,11,2,0,0
1,2018,9,1,11,3,0,0
1,2018,9,1,12,0,0,0
1,2018,9,1,12,1,0,0
1,2018,9,1,12,2,0,0
1,2018,9,1,12,3,0,0
1,2018,9,1,13,0,0,0
1,2018,9,1,13,1,0,0
1,2018,9,1,13,2,0,0
1,2018,9,1,13,3,0,0
1,2018,9,1,14,0,0,0
1,2018,9,1,14,1,0,0
1,2018,9,1,14,2,0,0
1,2018,9,1,14,3,0,0
1,2018,9,1,15,0,0,0
1,2018,9,1,15,1,0,0
1,2018,9,1,15,2,0,0
1,2018,9,1,15,3,0,0
1,2018,9,1,16,0,0,0
1,2018,9,1,16,1,0,0
1,2018,9,1,16,2,0,0
1,2018,9,1,16,3,0,0
1,2018,9,1,17,0,0,0
1,2018,9,1,17,1,0,0
1,2018,9,1,17,2,0,0
1,2018,9,1,17,3,0,0
1,2018,9,1,18,0,0,0
1,2018,9,1,18,1,0,0
1,2018,9,1,18,2,0,0
1,2018,9,1,18,3,0,0
1,2018,9,1,19,0,0,0
1,2018,9,1,19,1,0,0
1,2018,9,1,19,2,0,0
1,2018,9,1,19,3,0,0
1,2018,9,1,20,0,0,0
1,2018,9,1,20,1,0,0
1,2018,9,1,20,2,0,0
1,2018,9,1,20,3,0,0
1,2018,9,1,21,0,0,0
1,2018,9,1,21,1,0,0
1,2018,9,1,21,2,0,0
1,2018,9,1,21,3,0,0
1,2018,9,1,22,0,0,0
1,2018,9,1,22,1,0,0
1,2018,9,1,22,2,0,0
1,2018,9,1,22,3,0,0
1,2018,9,1,23,0,0,0
1,2018,9,1,23,1,0,0
1,2018,9,1,23,2,0,0
1,2018,9,1,23,3,0,0
1,2018,9,2,0,0,0,0
1,2018,9,2,0,1,0,0
1,2018,9,2,0,2,0,0
1,2018,9,2,0,3,0,0
1,2018,9,2,1,0,0,0
1,2018,9,2,1,1,0,0
1,2018,9,2,1,2,0,0
1,2018,9,2,1,3,0,0
1,2018,9,2,2,0,0,0
1,2018,9,2,2,1,0,0
1,2018,9,2,2,2,0,0
1,2018,9,2,2,3,0,0
1,2018,9,2,3,0,0,0
1,2018,9,2,3,1,0,0
1,2018,9,2,3,2,0,0
1,2018,9,2,3,3,0,0
1,2018,9,2,4,0,0,0
1,2018,9,2,4,1,0,0
1,2018,9,2,4,2,0,0
1,2018,9,2,4,3,0,0
1,2018,9,2,5,0,0,0
1,2018,9,2,5,1,0,0
1,2018,9,2,5,2,0,0
1,2018,9,2,5,3,0,0
1,2018,9,2,6,0,0,0
1,2018,9,2,6,1,0,0
1,2018,9,2,6,2,0,0
1,2018,9,2,6,3,0,0
1,2018,9,2,7,0,0,0
1,2018,9,2,7,1,0,0
1,2018,9,2,7,2,0,0
1,2018,9,2,7,3,0,0
1,2018,9,2,8,0,0,0
1,2018,9,2,8,1,0,0
1,2018,9,2,8,2,0,0
1,2018,9,2,8,3,0,0
1,2018,9,2,9,0,0,0
1,2018,9,2,9,1,0,0
1,2018,9,2,9,2,0,0
1,2018,9,2,9,3,0,0
1,2018,9,2,10,0,0,0
1,2018,9,2,10,1,0,0
1,2018,9,2,10,2,0,0
1,2018,9,2,10,3,0,0
1,2018,9,2,11,0,0,0
1,2018,9,2,11,1,0,0
1,2018,9,2,11,2,0,0
1,2018,9,2,11,3,0,0
1,2018,9,2,12,0,0,0
1,2018,9,2,12,1,0,0
1,2018,9,2,12,2,0,0
1,2018,9,2,12,3,0,0
1,2018,9,2,13,0,0,0
1,2018,9,2,13,1,0,0
1,2018,9,2,13,2,0,0
1,2018,9,2,13,3,0,0
1,2018,9,2,14,0,0,0
1,2018,9,2,14,1,0,0
1,2018,9,2,14,2,0,0
1,2018,9,2,14,3,0,0
1,2018,9,2,15,0,0,0
1,2018,9,2,15,1,0,0
1,2018,9,2,15,2,0,0
1,2018,9,2,15,3,0,0
1,2018,9,2,16,0,0,0
1,2018,9,2,16,1,0,0
1,2018,9,2,16,2,0,0
1,2018,9,2,16,3,0,0
1,2018,9,2,17,0,0,0
1,2018,9,2,17,1,0,0
1,2018,9,2,17,2,0,0
1,2018,9,2,17,3,0,0
1,2018,9,2,18,0,0,0
1,2018,9,2,18,1,0,0
1,2018,9,2,18,2,0,0
1,2018,9,2,18,3,0,0
1,2018,9,2,19,0,0,0
1,2018,9,2,19,1,0,0
1,2018,9,2,19,2,0,0
1,2018,9,2,19,3,0,0
1,2018,9,2,20,0,0,0
1,2018,9,2,20,1,0,0
1,2018,9,2,20,2,0,0
1,2018,9,2,20,3,0,0
1,2018,9,2,21,0,0,0
1,2018,9,2,21,1,0,0
1,2018,9,2,21,2,0,0
1,2018,9,2,21,3,0,0
1,2018,9,2,22,0,0,0
1,2018,9,2,22,1,0,0
1,2018,9,2,22,2,0,0
1,2018,9,2,22,3,0,0
1,2018,9,2,23,0,0,0
1,2018,9,2,23,1,0,0
1,2018,9,2,23,2,0,0
1,2018,9,2,23,3,0,0
1,2018,9,3,0,0,0,0
1,2018,9,3,0,1,0,0
1,2018,9,3,0,2,0,0
1,2018,9,3,0,3,0,0
1,2018,9,3,1,0,0,0
1,2018,9,3,1,1,0,0
1,2018,9,3,1,2,0,0
1,2018,9,3,1,3,0,0
1,2018,9,3,2,0,0,0
1,2018,9,3,2,1,0,0
1,2018,9,3,2,2,0,0
1,2018,9,3,2,3,0,0
1,2018,9,3,3,0,0,0
1,2018,9,3,3,1,0,0
1,2018,9,3,3,2,0,0
1,2018,9,3,3,3,0,0
1,2018,9,3,4,0,0,0
1,2018,9,3,4,1,0,0
1,2018,9,3,4,2,0,0
1,2018,9,3,4,3,0,0
1,2018,9,3,5,0,0,0
1,2018,9,3,5,1,0,0
1,2018,9,3,5,2,0,0
1,2018,9,3,5,3,0,0
1,2018,9,3,6,0,0,0
1,2018,9,3,6,1,0,0
1,2018,9,3,6,2,0,0
1,2018,9,3,6,3,0,0
1,2018,9,3,7,0,0,0
1,2018,9,3,7,1,0,0
1,2018,9,3,7,2,0,0
1,2018,9,3,7,3,0,0
1,2018,9,3,8,0,0,0
1,2018,9,3,8,1,0,0
1,2018,9,3,8,2,0,0
1,2018,9,3,8,3,0,0
1,2018,9,3,9,0,0,0
1,2018,9,3,9,1,0,0
1,2018,9,3,9,2,0,0
1,2018,9,3,9,3,0,0
1,2018,9,3,10,0,0,0
1,2018,9,3,10,1,0,0
1,2018,9,3,10,2,0,0
1,2018,9,3,10,3,0,0
1,2018,9,3,11,0,0,0
1,2018,9,3,11,1,0,0
1,2018,9,3,11,2,0,0
1,2018,9,3,11,3,0,0
1,2018,9,3,12,0,0,0
1,2018,9,3,12,1,0,0
1,2018,9,3,12,2,0,0
1,2018,9,3,12,3,0,0
1,2018,9,3,13,0,0,0
1,2018,9,3,13,1,0,0
1,2018,9,3,13,2,0,0
1,2018,9,3,13,3,0,0
1,2018,9,3,14,0,0,0
1,2018,9,3,14,1,0,0
1,2018,9,3,14,2,0,0
1,2018,9,3,14,3,0,0
1,2018,9,3,15,0,0,0
1,2018,9,3,15,1,0,0
1,2018,9,3,15,2,0,0
1,2018,9,3,15,3,0,0
1,2018,9,3,16,0,0,0
1,2018,9,3,16,1,0,0
1,2018,9,3,16,2,0,0
1,2018,9,3,16,3,0,0
1,2018,9,3,17,0,0,0
1,2018,9,3,17,1,0,0
1,2018,9,3,17,2,0,0
1,2018,9,3,17,3,0,0
1,2018,9,3,18,0,0,0
1,2018,9,3,18,1,0,0
1,2018,9,3,18,2,0,0
1,2018,9,3,18,3,0,0
1,2018,9,3,19,0,0,0
1,2018,9,3,19,1,0,0
1,2018,9,3,19,2,0,0
1,2018,9,3,19,3,0,0
1,2018,9,3,20,0,0,0
1,2018,9,3,20,1,0,0
1,2018,9,3,20,2,0,0
1,2018,9,3,20,3,0,0
1,2018,9,3,21,0,0,0
1,2018,9,3,21,1,0,0
1,2018,9,3,21,2,0,0
1,2018,9,3,21,3,0,0
1,2018,9,3,22,0,0,0
1,2018,9,3,22,1,0,0
1,2018,9,3,22,2,0,0
1,2018,9,3,22,3,0,0
